lat,lon,depth,starttime,energy,duration 
 48.835, -124.35, 25.0, 2014-11-23 02:55:00, 0.0, None 
 47.81, -123.78, 24.0, 2014-11-09 00:00:00, 0.0, None 
 47.69, -123.34, 52.0, 2014-11-09 00:50:00, 0.0, None 
 47.715, -123.315, 60.0, 2014-11-09 02:00:00, 0.0, None 
 47.77, -123.37, 53.0, 2014-11-09 02:07:30, 0.0, None 
 47.69, -123.34, 27.0, 2014-11-09 02:10:00, 0.0, None 
 47.71, -123.36, 27.0, 2014-11-09 02:12:30, 0.0, None 
 47.6, -123.48, 48.0, 2014-11-09 02:20:00, 0.0, None 
 47.59, -123.48, 47.5, 2014-11-09 02:22:30, 0.0, None 
 47.6, -123.46, 40.0, 2014-11-09 02:30:00, 0.0, None 
 47.63, -123.45, 47.0, 2014-11-09 02:32:30, 0.0, None 
 47.6, -123.48, 20.0, 2014-11-09 02:52:30, 0.0, None 
 47.71, -123.43, 28.0, 2014-11-09 03:00:00, 0.0, None 
 47.735, -123.47, 20.0, 2014-11-09 03:02:30, 0.0, None 
 47.8, -123.53, 50.0, 2014-11-09 03:07:30, 0.0, None 
 47.66, -123.4, 29.0, 2014-11-09 03:40:00, 0.0, None 
 47.68, -123.41, 27.0, 2014-11-09 03:42:30, 0.0, None 
 47.78, -123.49, 20.0, 2014-11-09 06:02:30, 0.0, None 
 47.78, -123.39, 26.0, 2014-11-09 07:05:00, 0.0, None 
 48.98, -125.275, 50.0, 2014-11-11 03:15:00, 0.0, None 
 49.0, -125.08, 45.0, 2014-11-11 03:47:30, 0.0, None 
 48.96, -125.15, 52.0, 2014-11-11 07:55:00, 0.0, None 
 49.0, -125.24, 60.0, 2014-11-11 11:40:00, 0.0, None 
 48.983000000000004, -125.148, 49.8, 2014-11-11 12:07:30, 0.0, None 
 48.89, -125.33, 60.0, 2014-11-11 22:25:00, 0.0, None 
 48.98, -125.255, 56.5, 2014-11-11 23:20:00, 0.0, None 
