lat,lon,depth,starttime,energy,duration 
 47.38, -122.92, 23.0, 2013-09-08 05:47:30, 0.0, None 
 47.37, -122.92, 30.0, 2013-09-08 05:52:30, 0.0, None 
 47.68, -122.74, 20.0, 2013-09-08 06:12:30, 0.0, None 
 47.58, -122.87, 35.0, 2013-09-08 06:20:00, 0.0, None 
 47.595, -122.855, 23.0, 2013-09-08 06:22:30, 0.0, None 
 47.633, -122.78, 20.0, 2013-09-08 06:25:00, 0.0, None 
 47.4, -122.94, 38.0, 2013-09-08 06:27:30, 0.0, None 
 47.49, -123.13, 49.0, 2013-09-08 06:30:00, 0.0, None 
 47.56, -122.945, 40.0, 2013-09-08 06:35:00, 0.0, None 
 47.575, -122.86, 35.0, 2013-09-08 06:37:30, 0.0, None 
 47.55, -122.94, 38.0, 2013-09-08 06:40:00, 0.0, None 
 47.575, -122.915, 30.5, 2013-09-08 06:42:30, 0.0, None 
 47.58, -122.835, 27.0, 2013-09-08 06:45:00, 0.0, None 
 47.58, -122.73299999999999, 22.5, 2013-09-08 06:47:30, 0.0, None 
 47.675, -122.82799999999999, 30.0, 2013-09-08 06:50:00, 0.0, None 
 47.655, -122.825, 28.8, 2013-09-08 06:52:30, 0.0, None 
 47.59, -122.78, 25.5, 2013-09-08 06:55:00, 0.0, None 
 47.575, -122.81, 25.0, 2013-09-08 06:57:30, 0.0, None 
 47.575, -122.97, 40.0, 2013-09-08 07:00:00, 0.0, None 
 47.635, -122.75, 24.5, 2013-09-08 07:02:30, 0.0, None 
 47.635, -122.76799999999999, 23.2, 2013-09-08 07:05:00, 0.0, None 
 47.64, -122.715, 20.0, 2013-09-08 07:07:30, 0.0, None 
 47.395, -122.82, 44.5, 2013-09-08 07:12:30, 0.0, None 
 47.51, -122.985, 20.0, 2013-09-08 07:15:00, 0.0, None 
 47.45, -122.89, 35.0, 2013-09-08 07:20:00, 0.0, None 
 47.51, -122.955, 32.0, 2013-09-08 07:22:30, 0.0, None 
 47.51, -122.9, 20.0, 2013-09-08 07:25:00, 0.0, None 
 47.48, -122.93, 20.0, 2013-09-08 07:55:00, 0.0, None 
 47.46, -123.09, 20.0, 2013-09-08 08:02:30, 0.0, None 
 47.59, -122.985, 37.5, 2013-09-08 08:05:00, 0.0, None 
 47.495, -122.785, 23.0, 2013-09-08 08:07:30, 0.0, None 
 47.5, -122.8, 32.0, 2013-09-08 08:10:00, 0.0, None 
 47.47, -122.83, 26.0, 2013-09-08 08:12:30, 0.0, None 
 47.49, -122.805, 24.0, 2013-09-08 08:15:00, 0.0, None 
 47.3, -122.97, 39.0, 2013-09-08 08:25:00, 0.0, None 
 47.343, -122.82, 41.2, 2013-09-08 08:40:00, 0.0, None 
 47.4, -122.9, 20.0, 2013-09-08 08:42:30, 0.0, None 
 47.34, -122.88, 20.0, 2013-09-08 08:45:00, 0.0, None 
 47.33, -122.9, 20.0, 2013-09-08 08:47:30, 0.0, None 
 47.49, -122.89, 20.0, 2013-09-08 08:50:00, 0.0, None 
 47.51, -122.85, 35.0, 2013-09-08 08:52:30, 0.0, None 
 47.49, -122.88, 47.5, 2013-09-08 08:55:00, 0.0, None 
 47.46, -122.79, 60.0, 2013-09-08 08:57:30, 0.0, None 
 47.455, -122.80799999999999, 34.2, 2013-09-08 09:00:00, 0.0, None 
 47.67, -122.935, 60.0, 2013-09-08 09:05:00, 0.0, None 
 47.52, -122.74, 20.0, 2013-09-08 09:07:30, 0.0, None 
 47.61, -122.795, 26.2, 2013-09-08 09:10:00, 0.0, None 
 47.615, -122.795, 26.5, 2013-09-08 09:12:30, 0.0, None 
 47.63, -122.8, 20.0, 2013-09-08 09:15:00, 0.0, None 
 47.58, -122.765, 30.5, 2013-09-08 09:17:30, 0.0, None 
 47.537, -122.822, 27.2, 2013-09-08 09:20:00, 0.0, None 
 47.52, -123.0, 20.0, 2013-09-08 09:22:30, 0.0, None 
 47.48, -122.76, 20.0, 2013-09-08 09:25:00, 0.0, None 
 47.51, -122.91, 30.0, 2013-09-08 10:10:00, 0.0, None 
 47.51, -122.975, 31.0, 2013-09-08 10:12:30, 0.0, None 
 47.52, -122.9, 32.5, 2013-09-08 10:17:30, 0.0, None 
 47.575, -122.89, 20.0, 2013-09-08 10:20:00, 0.0, None 
 47.55, -122.9, 20.0, 2013-09-08 10:22:30, 0.0, None 
 47.31, -122.83, 20.0, 2013-09-08 10:30:00, 0.0, None 
 47.48, -122.87, 50.0, 2013-09-08 10:35:00, 0.0, None 
 47.52, -122.55, 60.0, 2013-09-08 10:37:30, 0.0, None 
 47.422, -122.727, 27.0, 2013-09-08 10:40:00, 0.0, None 
 47.365, -122.697, 32.5, 2013-09-08 10:42:30, 0.0, None 
 47.51, -122.72, 40.0, 2013-09-08 10:45:00, 0.0, None 
 47.4, -122.7, 51.0, 2013-09-08 10:47:30, 0.0, None 
 47.417, -122.77, 20.0, 2013-09-08 10:50:00, 0.0, None 
 47.422, -122.775, 20.0, 2013-09-08 10:52:30, 0.0, None 
