lat,lon,depth,starttime,energy,duration 
 47.5, -123.18, 20.0, 2010-08-08 00:52:30, 0.0, None 
 47.49, -122.58, 20.0, 2010-08-08 01:50:00, 0.0, None 
 47.47, -122.72, 20.0, 2010-08-08 02:25:00, 0.0, None 
 47.42, -122.49, 20.0, 2010-08-08 03:00:00, 0.0, None 
 47.495, -122.685, 21.0, 2010-08-08 03:47:30, 0.0, None 
 47.38, -122.72, 50.0, 2010-08-08 03:57:30, 0.0, None 
 47.417, -122.66, 20.0, 2010-08-08 04:00:00, 0.0, None 
 47.475, -122.82, 43.5, 2010-08-08 04:30:00, 0.0, None 
 47.453, -122.72, 28.8, 2010-08-08 04:32:30, 0.0, None 
 47.21, -122.69, 20.0, 2010-08-08 04:50:00, 0.0, None 
 47.52, -122.61, 31.5, 2010-08-08 05:00:00, 0.0, None 
 47.38, -122.52, 30.0, 2010-08-08 05:02:30, 0.0, None 
 47.468, -122.54, 20.2, 2010-08-08 05:05:00, 0.0, None 
 47.37, -122.85, 20.0, 2010-08-08 05:25:00, 0.0, None 
 47.48, -122.875, 20.0, 2010-08-08 05:45:00, 0.0, None 
 47.51, -122.89, 20.0, 2010-08-08 05:47:30, 0.0, None 
 47.42, -122.79, 20.0, 2010-08-08 06:10:00, 0.0, None 
 47.47, -122.7, 55.5, 2010-08-08 06:12:30, 0.0, None 
 47.5, -122.76, 20.0, 2010-08-08 06:30:00, 0.0, None 
 47.52, -122.755, 40.0, 2010-08-08 06:32:30, 0.0, None 
 47.505, -122.75, 32.0, 2010-08-08 06:35:00, 0.0, None 
 47.43, -122.8, 55.0, 2010-08-08 07:00:00, 0.0, None 
 47.55, -122.88, 20.0, 2010-08-08 07:20:00, 0.0, None 
 47.32, -122.63, 20.0, 2010-08-08 07:22:30, 0.0, None 
 47.5, -122.765, 29.5, 2010-08-08 07:25:00, 0.0, None 
 47.51, -122.87, 20.0, 2010-08-08 07:27:30, 0.0, None 
 47.48, -122.68, 20.0, 2010-08-08 07:35:00, 0.0, None 
 47.44, -122.42, 53.0, 2010-08-08 07:40:00, 0.0, None 
 47.45, -122.665, 20.0, 2010-08-08 07:42:30, 0.0, None 
 47.45, -122.635, 20.0, 2010-08-08 07:45:00, 0.0, None 
 47.44, -122.7, 20.0, 2010-08-08 08:00:00, 0.0, None 
 47.49, -122.662, 30.5, 2010-08-08 08:02:30, 0.0, None 
 47.56, -122.6, 20.0, 2010-08-08 08:05:00, 0.0, None 
 47.555, -122.62, 44.5, 2010-08-08 08:07:30, 0.0, None 
 47.5, -122.58, 43.0, 2010-08-08 08:10:00, 0.0, None 
 47.5, -122.42, 60.0, 2010-08-08 08:15:00, 0.0, None 
 47.5, -122.39, 20.0, 2010-08-08 08:25:00, 0.0, None 
 47.49, -122.545, 20.0, 2010-08-08 08:27:30, 0.0, None 
 47.58, -122.61, 20.0, 2010-08-08 08:45:00, 0.0, None 
 47.49, -122.825, 20.0, 2010-08-08 08:52:30, 0.0, None 
 47.457, -122.625, 29.8, 2010-08-08 08:55:00, 0.0, None 
 47.415, -122.64, 49.0, 2010-08-08 08:57:30, 0.0, None 
 47.515, -122.9, 20.0, 2010-08-08 09:10:00, 0.0, None 
 47.51, -122.77, 23.0, 2010-08-08 09:25:00, 0.0, None 
 47.45, -122.9, 20.0, 2010-08-08 09:27:30, 0.0, None 
 47.475, -122.84, 60.0, 2010-08-08 09:57:30, 0.0, None 
 47.425, -122.765, 22.0, 2010-08-08 10:00:00, 0.0, None 
 47.42, -122.565, 27.0, 2010-08-08 10:05:00, 0.0, None 
 47.62, -122.78, 60.0, 2010-08-08 10:05:00, 0.0, None 
 47.39, -122.67, 42.0, 2010-08-08 10:07:30, 0.0, None 
 47.45, -122.4, 52.0, 2010-08-08 10:17:30, 0.0, None 
 47.43, -122.97, 20.0, 2010-08-08 10:20:00, 0.0, None 
 47.51, -122.805, 33.0, 2010-08-08 10:22:30, 0.0, None 
 47.515, -122.83, 40.0, 2010-08-08 10:37:30, 0.0, None 
 47.38, -123.0, 49.0, 2010-08-08 10:40:00, 0.0, None 
 47.5, -122.87, 20.0, 2010-08-08 11:27:30, 0.0, None 
 47.4, -123.1, 35.0, 2010-08-08 11:30:00, 0.0, None 
 47.47, -122.81, 27.0, 2010-08-08 11:55:00, 0.0, None 
 47.39, -122.685, 60.0, 2010-08-08 11:57:30, 0.0, None 
 47.48, -122.73, 27.0, 2010-08-08 12:00:00, 0.0, None 
 47.42, -122.79, 34.0, 2010-08-08 12:02:30, 0.0, None 
 47.475, -122.74, 25.5, 2010-08-08 12:05:00, 0.0, None 
 47.49, -122.88, 20.0, 2010-08-08 12:20:00, 0.0, None 
 47.41, -122.81, 35.0, 2010-08-08 12:22:30, 0.0, None 
 47.47, -122.89, 46.0, 2010-08-08 12:25:00, 0.0, None 
 47.5, -122.87, 26.0, 2010-08-08 12:27:30, 0.0, None 
 47.51, -122.9, 20.0, 2010-08-08 12:50:00, 0.0, None 
 47.52, -122.72, 29.0, 2010-08-08 13:00:00, 0.0, None 
 47.39, -122.64, 20.0, 2010-08-08 13:12:30, 0.0, None 
 47.37, -122.69, 22.0, 2010-08-08 13:15:00, 0.0, None 
 47.42, -122.88, 24.0, 2010-08-08 13:17:30, 0.0, None 
 47.508, -122.825, 41.5, 2010-08-08 13:20:00, 0.0, None 
 47.52, -122.745, 28.0, 2010-08-08 13:22:30, 0.0, None 
 47.52, -122.73, 30.5, 2010-08-08 13:30:00, 0.0, None 
 47.46, -122.88, 20.0, 2010-08-08 13:45:00, 0.0, None 
 47.41, -122.365, 20.0, 2010-08-08 14:05:00, 0.0, None 
 47.54, -122.8, 42.0, 2010-08-08 14:10:00, 0.0, None 
 47.56, -122.69200000000001, 41.0, 2010-08-08 14:12:30, 0.0, None 
 47.31, -123.085, 60.0, 2010-08-08 14:17:30, 0.0, None 
 47.345, -122.835, 42.5, 2010-08-08 15:32:30, 0.0, None 
 47.51, -122.85, 60.0, 2010-08-08 15:57:30, 0.0, None 
 47.46, -122.82, 44.0, 2010-08-08 16:02:30, 0.0, None 
 47.315, -122.985, 45.0, 2010-08-08 16:05:00, 0.0, None 
