lat,lon,depth,starttime,energy,duration 
 47.455, -123.085, 36.5, 2012-09-29 06:52:30, 0.0, None 
 48.91, -124.67, 20.0, 2012-08-31 00:12:30, 0.0, None 
 48.99, -124.75, 20.0, 2012-08-31 13:25:00, 0.0, None 
 48.935, -124.73, 20.0, 2012-08-31 13:27:30, 0.0, None 
 48.805, -124.72200000000001, 20.0, 2012-08-31 13:35:00, 0.0, None 
 48.83, -124.695, 20.0, 2012-08-31 13:37:30, 0.0, None 
 48.888000000000005, -124.72200000000001, 20.0, 2012-08-31 13:40:00, 0.0, None 
 48.83, -124.685, 20.0, 2012-08-31 13:42:30, 0.0, None 
 48.805, -124.70700000000001, 20.0, 2012-08-31 13:45:00, 0.0, None 
 48.728, -124.705, 20.2, 2012-08-31 13:47:30, 0.0, None 
 48.745, -124.65, 20.0, 2012-08-31 13:50:00, 0.0, None 
 48.765, -124.69200000000001, 20.2, 2012-08-31 13:52:30, 0.0, None 
 48.722, -124.65700000000001, 20.0, 2012-08-31 13:55:00, 0.0, None 
 48.755, -124.75, 21.0, 2012-08-31 13:57:30, 0.0, None 
 48.858000000000004, -124.83, 40.0, 2012-08-31 14:00:00, 0.0, None 
 48.945, -124.73700000000001, 20.0, 2012-08-31 14:02:30, 0.0, None 
 48.985, -124.68799999999999, 32.5, 2012-08-31 14:05:00, 0.0, None 
 48.855, -124.725, 20.0, 2012-08-31 14:07:30, 0.0, None 
 48.873000000000005, -124.743, 23.8, 2012-08-31 14:10:00, 0.0, None 
 48.65, -124.5, 20.0, 2012-08-31 14:12:30, 0.0, None 
 48.84, -124.7, 31.0, 2012-08-31 14:17:30, 0.0, None 
 48.907, -124.708, 30.8, 2012-08-31 14:20:00, 0.0, None 
 48.89, -124.695, 33.5, 2012-08-31 14:22:30, 0.0, None 
 48.65, -124.57, 20.0, 2012-08-31 14:27:30, 0.0, None 
 48.775, -124.743, 20.0, 2012-08-31 14:30:00, 0.0, None 
 48.89, -124.71, 20.0, 2012-08-31 14:37:30, 0.0, None 
 48.685, -124.56, 30.0, 2012-08-31 14:40:00, 0.0, None 
 48.91, -124.71, 20.0, 2012-08-31 14:40:00, 0.0, None 
 48.86, -124.7, 30.0, 2012-08-31 14:50:00, 0.0, None 
 48.98, -124.84, 20.0, 2012-08-31 14:52:30, 0.0, None 
 48.69, -124.47, 42.0, 2012-08-31 14:57:30, 0.0, None 
 48.8, -124.79, 20.0, 2012-08-31 15:02:30, 0.0, None 
 48.8, -124.56, 60.0, 2012-08-31 15:10:00, 0.0, None 
