lat,lon,depth,starttime,energy,duration 
 48.79, -123.78, 20.0, 2015-12-22 11:35:00, 0.0, None 
 48.8, -123.8, 29.0, 2015-12-22 11:37:30, 0.0, None 
 48.915, -123.72, 24.0, 2015-12-22 11:42:30, 0.0, None 
 48.92, -123.695, 23.5, 2015-12-22 11:45:00, 0.0, None 
 48.68, -123.765, 56.0, 2015-12-22 11:57:30, 0.0, None 
 48.69, -123.89, 36.0, 2015-12-22 12:17:30, 0.0, None 
 48.785, -123.8, 20.0, 2015-12-22 12:22:30, 0.0, None 
 48.78, -123.79, 20.0, 2015-12-22 12:25:00, 0.0, None 
 48.82, -123.71, 20.0, 2015-12-22 12:27:30, 0.0, None 
 48.785, -123.67, 28.0, 2015-12-22 12:30:00, 0.0, None 
 48.8, -123.86, 40.0, 2015-12-22 13:42:30, 0.0, None 
 48.78, -123.85, 29.0, 2015-12-22 13:45:00, 0.0, None 
 48.76, -123.81, 21.0, 2015-12-22 13:47:30, 0.0, None 
 48.76, -123.74, 20.0, 2015-12-22 13:52:30, 0.0, None 
 48.79, -123.74, 20.0, 2015-12-22 13:55:00, 0.0, None 
 48.77, -123.74, 49.0, 2015-12-22 13:57:30, 0.0, None 
 48.76, -123.76, 20.0, 2015-12-22 14:00:00, 0.0, None 
 48.785, -123.78, 20.0, 2015-12-22 14:02:30, 0.0, None 
 48.8, -123.78, 20.0, 2015-12-22 14:05:00, 0.0, None 
 48.8, -123.77, 22.5, 2015-12-22 14:07:30, 0.0, None 
 48.77, -123.74, 51.0, 2015-12-22 14:47:30, 0.0, None 
 48.8, -123.83, 31.0, 2015-12-22 14:50:00, 0.0, None 
 48.82, -123.7, 39.0, 2015-12-22 15:40:00, 0.0, None 
 48.82, -123.745, 56.5, 2015-12-22 16:00:00, 0.0, None 
 48.785, -123.79, 50.0, 2015-12-22 16:02:30, 0.0, None 
 48.9, -123.76, 26.0, 2015-12-22 16:35:00, 0.0, None 
 48.845, -123.735, 20.0, 2015-12-22 16:37:30, 0.0, None 
 48.88, -123.69, 50.0, 2015-12-22 16:40:00, 0.0, None 
 48.7, -123.69, 48.0, 2015-12-22 16:50:00, 0.0, None 
 48.79, -123.74, 20.0, 2015-12-22 16:52:30, 0.0, None 
 48.82, -123.71, 29.0, 2015-12-22 16:55:00, 0.0, None 
 48.68, -123.725, 41.5, 2015-12-22 16:57:30, 0.0, None 
 48.78, -123.74, 60.0, 2015-12-22 17:05:00, 0.0, None 
 48.86, -123.8, 20.0, 2015-12-22 17:32:30, 0.0, None 
 48.72, -123.68, 60.0, 2015-12-22 17:37:30, 0.0, None 
 48.74, -123.75, 20.0, 2015-12-22 17:40:00, 0.0, None 
 48.74, -123.88, 20.0, 2015-12-22 20:00:00, 0.0, None 
 48.8, -123.88, 20.0, 2015-12-22 20:15:00, 0.0, None 
 48.84, -123.84, 20.0, 2015-12-22 20:17:30, 0.0, None 
 48.81, -123.835, 60.0, 2015-12-22 20:20:00, 0.0, None 
 48.765, -123.82, 43.5, 2015-12-22 20:22:30, 0.0, None 
 48.72, -123.64, 60.0, 2015-12-22 20:25:00, 0.0, None 
 48.73, -123.705, 48.5, 2015-12-22 20:27:30, 0.0, None 
 48.73, -123.9, 35.0, 2015-12-22 20:40:00, 0.0, None 
 48.77, -123.89, 20.0, 2015-12-22 22:05:00, 0.0, None 
 48.73, -123.67, 20.0, 2015-12-22 22:22:30, 0.0, None 
 48.5, -123.67, 43.0, 2015-12-22 22:45:00, 0.0, None 
 48.91, -123.79, 20.0, 2015-12-23 01:17:30, 0.0, None 
 48.925, -123.745, 25.0, 2015-12-23 01:20:00, 0.0, None 
 49.0, -123.625, 40.0, 2015-12-23 01:22:30, 0.0, None 
 48.9, -123.73, 24.0, 2015-12-23 02:12:30, 0.0, None 
 48.885, -123.68, 43.0, 2015-12-23 02:15:00, 0.0, None 
 48.88, -123.745, 56.0, 2015-12-23 02:57:30, 0.0, None 
 48.88, -123.81, 20.0, 2015-12-23 03:00:00, 0.0, None 
 48.855, -123.81, 20.0, 2015-12-23 03:07:30, 0.0, None 
 48.89, -123.82, 20.0, 2015-12-23 03:10:00, 0.0, None 
 48.87, -123.73, 40.0, 2015-12-23 03:12:30, 0.0, None 
 48.91, -123.7, 20.0, 2015-12-23 03:15:00, 0.0, None 
 48.99, -123.62, 60.0, 2015-12-23 04:37:30, 0.0, None 
 48.9, -123.79, 20.0, 2015-12-23 04:40:00, 0.0, None 
 48.73, -123.71, 60.0, 2015-12-23 05:47:30, 0.0, None 
 48.79, -123.78, 42.0, 2015-12-23 05:50:00, 0.0, None 
 48.8, -123.775, 43.0, 2015-12-23 05:52:30, 0.0, None 
 48.9, -123.79, 20.0, 2015-12-23 05:55:00, 0.0, None 
 48.945, -123.69, 20.0, 2015-12-23 06:00:00, 0.0, None 
 48.8, -123.74, 40.0, 2015-12-23 06:02:30, 0.0, None 
 48.88, -123.82, 20.0, 2015-12-23 06:35:00, 0.0, None 
 48.91, -123.7, 21.0, 2015-12-23 08:07:30, 0.0, None 
 48.86, -123.68, 20.0, 2015-12-23 08:10:00, 0.0, None 
 48.91, -123.74, 56.0, 2015-12-23 08:12:30, 0.0, None 
 48.88, -123.7, 54.5, 2015-12-23 08:15:00, 0.0, None 
 48.82, -123.83, 20.0, 2015-12-23 08:17:30, 0.0, None 
 48.68, -123.91, 47.0, 2015-12-23 08:20:00, 0.0, None 
 48.82, -123.79, 20.0, 2015-12-23 08:22:30, 0.0, None 
 48.795, -123.76, 37.5, 2015-12-23 08:25:00, 0.0, None 
 48.8, -123.73, 60.0, 2015-12-23 08:27:30, 0.0, None 
 48.78, -123.76, 60.0, 2015-12-23 08:30:00, 0.0, None 
 48.91, -123.96, 20.0, 2015-12-23 08:37:30, 0.0, None 
 48.74, -123.875, 60.0, 2015-12-23 08:57:30, 0.0, None 
 48.78, -123.95, 34.0, 2015-12-23 09:00:00, 0.0, None 
 48.74, -123.86, 20.0, 2015-12-23 09:02:30, 0.0, None 
 48.79, -123.72, 21.5, 2015-12-23 09:12:30, 0.0, None 
 48.725, -123.89, 20.0, 2015-12-23 09:15:00, 0.0, None 
 48.82, -123.81, 20.0, 2015-12-23 09:30:00, 0.0, None 
 48.83, -123.78, 20.0, 2015-12-23 09:32:30, 0.0, None 
 48.89, -123.69, 30.5, 2015-12-23 09:35:00, 0.0, None 
 48.91, -123.69, 32.0, 2015-12-23 09:37:30, 0.0, None 
 48.81, -123.82, 20.0, 2015-12-23 09:42:30, 0.0, None 
 48.72, -123.89, 47.0, 2015-12-23 09:45:00, 0.0, None 
 48.815, -123.83, 26.5, 2015-12-23 09:47:30, 0.0, None 
 48.795, -123.79, 27.0, 2015-12-23 09:50:00, 0.0, None 
 48.73, -123.9, 44.0, 2015-12-23 09:55:00, 0.0, None 
 48.7, -123.9, 48.5, 2015-12-23 09:57:30, 0.0, None 
 48.98, -124.06, 31.0, 2015-12-23 10:00:00, 0.0, None 
 48.695, -123.875, 41.0, 2015-12-23 10:00:00, 0.0, None 
 48.79, -123.88, 20.0, 2015-12-23 10:02:30, 0.0, None 
 48.81, -123.82, 34.0, 2015-12-23 10:05:00, 0.0, None 
 48.77, -123.78, 30.0, 2015-12-23 10:07:30, 0.0, None 
 48.87, -123.665, 37.5, 2015-12-23 10:10:00, 0.0, None 
 48.82, -123.65, 44.0, 2015-12-23 10:12:30, 0.0, None 
 48.785, -123.755, 46.5, 2015-12-23 10:15:00, 0.0, None 
 48.83, -123.68, 20.0, 2015-12-23 10:17:30, 0.0, None 
 48.82, -123.67, 20.0, 2015-12-23 10:20:00, 0.0, None 
 48.81, -123.73, 30.0, 2015-12-23 10:25:00, 0.0, None 
 48.81, -123.73, 30.0, 2015-12-23 10:27:30, 0.0, None 
 48.72, -123.75, 51.0, 2015-12-23 10:32:30, 0.0, None 
 48.74, -123.805, 20.0, 2015-12-23 10:47:30, 0.0, None 
 48.78, -123.81, 20.0, 2015-12-23 10:50:00, 0.0, None 
 48.78, -123.805, 22.5, 2015-12-23 10:52:30, 0.0, None 
 48.71, -123.79, 39.5, 2015-12-23 10:55:00, 0.0, None 
 48.81, -123.74, 57.0, 2015-12-23 10:57:30, 0.0, None 
 48.78, -123.82, 40.0, 2015-12-23 11:00:00, 0.0, None 
 48.81, -123.82, 30.0, 2015-12-23 11:02:30, 0.0, None 
 48.865, -123.775, 47.0, 2015-12-23 11:05:00, 0.0, None 
 48.81, -123.715, 60.0, 2015-12-23 11:07:30, 0.0, None 
 48.88, -123.67, 32.5, 2015-12-23 11:10:00, 0.0, None 
 48.835, -123.67, 48.0, 2015-12-23 11:12:30, 0.0, None 
 48.84, -123.67, 48.0, 2015-12-23 11:15:00, 0.0, None 
 48.88, -123.7, 25.5, 2015-12-23 11:17:30, 0.0, None 
 48.79, -123.695, 36.0, 2015-12-23 11:20:00, 0.0, None 
 48.87, -123.73, 20.0, 2015-12-23 11:22:30, 0.0, None 
 48.91, -123.79, 20.0, 2015-12-23 11:27:30, 0.0, None 
 48.93, -123.72, 36.5, 2015-12-23 11:30:00, 0.0, None 
 48.91, -123.805, 30.0, 2015-12-23 11:32:30, 0.0, None 
 48.88, -123.75, 27.5, 2015-12-23 11:35:00, 0.0, None 
 48.78, -123.71, 40.5, 2015-12-23 11:37:30, 0.0, None 
 48.9, -123.7, 41.5, 2015-12-23 11:40:00, 0.0, None 
 48.77, -123.72, 22.0, 2015-12-23 11:42:30, 0.0, None 
 48.87, -123.62, 20.0, 2015-12-23 11:45:00, 0.0, None 
 48.83, -123.95, 20.0, 2015-12-23 12:02:30, 0.0, None 
 48.8, -123.94, 20.0, 2015-12-23 12:05:00, 0.0, None 
 48.8, -123.93, 20.0, 2015-12-23 12:07:30, 0.0, None 
 48.97, -123.715, 24.0, 2015-12-23 12:27:30, 0.0, None 
 48.98, -123.67, 20.0, 2015-12-23 12:30:00, 0.0, None 
 48.86, -123.78, 20.0, 2015-12-23 12:32:30, 0.0, None 
 48.88, -123.77, 20.0, 2015-12-23 12:35:00, 0.0, None 
 48.87, -123.76, 20.0, 2015-12-23 12:37:30, 0.0, None 
 48.81, -123.85, 20.0, 2015-12-23 13:00:00, 0.0, None 
 48.83, -123.65, 20.0, 2015-12-23 13:15:00, 0.0, None 
 48.98, -123.66, 20.0, 2015-12-23 13:32:30, 0.0, None 
 48.76, -123.67, 31.0, 2015-12-23 14:27:30, 0.0, None 
 48.73, -123.63, 42.0, 2015-12-23 14:30:00, 0.0, None 
 48.83, -123.6, 31.0, 2015-12-23 14:52:30, 0.0, None 
 48.785, -123.605, 22.5, 2015-12-23 14:57:30, 0.0, None 
 48.71, -123.83, 20.0, 2015-12-23 18:02:30, 0.0, None 
 48.97, -123.82, 38.0, 2015-12-23 20:25:00, 0.0, None 
 48.89, -123.86, 26.0, 2015-12-23 20:27:30, 0.0, None 
 48.88, -123.915, 20.0, 2015-12-23 20:30:00, 0.0, None 
 48.905, -123.88, 20.0, 2015-12-23 20:32:30, 0.0, None 
 48.825, -123.85, 22.5, 2015-12-23 20:35:00, 0.0, None 
 48.76, -123.89, 20.0, 2015-12-23 20:37:30, 0.0, None 
 48.84, -123.91, 20.0, 2015-12-23 20:40:00, 0.0, None 
 48.79, -123.8, 60.0, 2015-12-23 20:47:30, 0.0, None 
 48.735, -123.78, 60.0, 2015-12-23 20:50:00, 0.0, None 
 48.92, -123.91, 29.0, 2015-12-23 23:00:00, 0.0, None 
 48.89, -124.01, 34.0, 2015-12-23 23:02:30, 0.0, None 
 48.89, -123.88, 23.0, 2015-12-23 23:10:00, 0.0, None 
 48.9, -123.83, 20.0, 2015-12-23 23:12:30, 0.0, None 
 48.73, -123.765, 20.0, 2015-12-23 23:15:00, 0.0, None 
 48.765, -123.76, 20.0, 2015-12-23 23:17:30, 0.0, None 
 48.745, -123.68, 20.0, 2015-12-23 23:35:00, 0.0, None 
 48.78, -123.655, 20.0, 2015-12-23 23:37:30, 0.0, None 
 48.88, -123.98, 20.0, 2015-12-23 23:42:30, 0.0, None 
 48.9, -123.86, 32.0, 2015-12-24 00:47:30, 0.0, None 
 48.94, -123.88, 20.0, 2015-12-24 01:12:30, 0.0, None 
 48.815, -123.79700000000001, 22.0, 2015-12-24 01:15:00, 0.0, None 
 48.983000000000004, -124.015, 28.2, 2015-12-24 02:02:30, 0.0, None 
 49.0, -124.05, 30.0, 2015-12-24 02:05:00, 0.0, None 
 48.61, -123.9, 37.0, 2015-12-24 02:15:00, 0.0, None 
 49.0, -123.87, 33.0, 2015-12-24 02:25:00, 0.0, None 
 48.95, -123.87, 31.0, 2015-12-24 02:30:00, 0.0, None 
 48.96, -123.86, 37.0, 2015-12-24 02:32:30, 0.0, None 
 48.9, -123.89, 60.0, 2015-12-24 02:35:00, 0.0, None 
 48.93, -124.01, 49.0, 2015-12-24 02:37:30, 0.0, None 
 48.82, -123.99, 44.0, 2015-12-24 03:12:30, 0.0, None 
 48.93, -123.86, 30.5, 2015-12-24 03:17:30, 0.0, None 
 48.84, -124.18, 20.0, 2015-12-24 03:25:00, 0.0, None 
 48.92, -124.09, 30.0, 2015-12-24 03:30:00, 0.0, None 
 48.92, -123.91, 20.0, 2015-12-24 03:45:00, 0.0, None 
 48.97, -123.85, 32.5, 2015-12-24 03:47:30, 0.0, None 
 48.98, -123.865, 34.0, 2015-12-24 03:50:00, 0.0, None 
 48.96, -123.79, 45.0, 2015-12-24 03:52:30, 0.0, None 
 48.89, -124.015, 20.0, 2015-12-24 04:00:00, 0.0, None 
 48.87, -123.76, 20.0, 2015-12-24 04:02:30, 0.0, None 
 48.89, -124.04, 28.0, 2015-12-24 04:20:00, 0.0, None 
 48.895, -123.955, 20.0, 2015-12-24 04:32:30, 0.0, None 
 48.9, -123.87, 60.0, 2015-12-24 04:55:00, 0.0, None 
 48.92, -123.97, 49.5, 2015-12-24 05:02:30, 0.0, None 
 48.76, -123.75, 43.0, 2015-12-24 05:25:00, 0.0, None 
 48.635, -124.025, 45.5, 2015-12-24 05:52:30, 0.0, None 
 48.79, -124.04, 29.0, 2015-12-24 05:55:00, 0.0, None 
 48.8, -123.96, 29.0, 2015-12-24 06:20:00, 0.0, None 
 48.89, -123.85, 24.0, 2015-12-24 06:37:30, 0.0, None 
 48.825, -124.065, 40.5, 2015-12-24 06:50:00, 0.0, None 
 48.66, -124.01, 60.0, 2015-12-24 06:52:30, 0.0, None 
 48.89, -124.08, 24.0, 2015-12-24 06:55:00, 0.0, None 
 48.88, -123.94, 53.0, 2015-12-24 07:52:30, 0.0, None 
 48.88, -124.04, 34.0, 2015-12-24 07:55:00, 0.0, None 
 48.79, -124.02, 49.0, 2015-12-24 07:57:30, 0.0, None 
 48.78, -124.01, 21.0, 2015-12-24 08:00:00, 0.0, None 
 48.78, -123.95, 34.0, 2015-12-24 08:02:30, 0.0, None 
 48.8, -124.045, 39.0, 2015-12-24 08:05:00, 0.0, None 
 48.87, -124.08, 24.0, 2015-12-24 08:07:30, 0.0, None 
 48.765, -123.97, 57.0, 2015-12-24 08:12:30, 0.0, None 
 48.88, -123.89, 20.0, 2015-12-24 08:15:00, 0.0, None 
 48.77, -123.86, 26.0, 2015-12-24 08:35:00, 0.0, None 
 48.81, -123.87, 29.0, 2015-12-24 08:37:30, 0.0, None 
 48.81, -123.87, 20.0, 2015-12-24 08:40:00, 0.0, None 
 48.78, -123.9, 20.0, 2015-12-24 08:42:30, 0.0, None 
 48.68, -123.95, 29.0, 2015-12-24 08:47:30, 0.0, None 
 48.72, -123.885, 36.0, 2015-12-24 08:50:00, 0.0, None 
 48.74, -124.0, 32.0, 2015-12-24 08:52:30, 0.0, None 
 49.0, -123.82, 60.0, 2015-12-24 09:45:00, 0.0, None 
 48.97, -124.025, 60.0, 2015-12-24 09:57:30, 0.0, None 
 48.89, -123.955, 20.0, 2015-12-24 10:00:00, 0.0, None 
 48.92, -123.977, 24.8, 2015-12-24 10:02:30, 0.0, None 
 48.89, -123.98, 48.0, 2015-12-24 10:05:00, 0.0, None 
 48.91, -123.89, 33.0, 2015-12-24 10:07:30, 0.0, None 
 48.92, -123.87, 20.0, 2015-12-24 10:10:00, 0.0, None 
 48.94, -123.88, 33.5, 2015-12-24 10:12:30, 0.0, None 
 48.99, -123.985, 20.0, 2015-12-24 10:17:30, 0.0, None 
 48.95, -123.855, 30.0, 2015-12-24 10:20:00, 0.0, None 
 48.97, -123.83, 28.5, 2015-12-24 10:22:30, 0.0, None 
 48.7, -123.63, 20.0, 2015-12-24 10:22:30, 0.0, None 
 48.94, -123.89, 32.0, 2015-12-24 10:25:00, 0.0, None 
 48.92, -123.89, 20.0, 2015-12-24 10:27:30, 0.0, None 
 48.93, -123.885, 20.0, 2015-12-24 10:30:00, 0.0, None 
 48.68, -123.555, 20.0, 2015-12-24 10:30:00, 0.0, None 
 48.867, -123.8, 20.0, 2015-12-24 10:32:30, 0.0, None 
 48.845, -123.79, 24.0, 2015-12-24 10:35:00, 0.0, None 
 48.9, -123.87, 29.0, 2015-12-24 10:37:30, 0.0, None 
 48.69, -123.64, 37.0, 2015-12-24 10:37:30, 0.0, None 
