lat,lon,depth,starttime,energy,duration 
 48.415, -123.875, 54.0, 2011-08-25 07:00:00, 0.0, None 
 48.52, -123.73, 20.0, 2011-08-26 21:50:00, 0.0, None 
 47.6, -123.31, 20.0, 2011-07-16 00:20:00, 0.0, None 
 47.2, -123.31, 44.0, 2011-07-16 01:12:30, 0.0, None 
 47.21, -122.45, 60.0, 2011-07-16 02:57:30, 0.0, None 
 47.52, -123.11, 20.0, 2011-07-16 03:30:00, 0.0, None 
 47.19, -122.51, 20.0, 2011-07-16 05:10:00, 0.0, None 
 47.57, -123.21, 20.0, 2011-07-16 05:27:30, 0.0, None 
 47.45, -123.225, 20.0, 2011-07-16 06:50:00, 0.0, None 
 47.175, -122.58, 60.0, 2011-07-16 06:50:00, 0.0, None 
 47.62, -123.39, 20.0, 2011-07-16 07:25:00, 0.0, None 
 47.5, -123.235, 20.0, 2011-07-16 07:37:30, 0.0, None 
 47.47, -123.19, 20.0, 2011-07-16 07:40:00, 0.0, None 
 47.22, -122.48, 60.0, 2011-07-16 07:42:30, 0.0, None 
 47.53, -123.14, 56.0, 2011-07-16 07:50:00, 0.0, None 
 47.57, -123.24, 20.0, 2011-07-16 09:17:30, 0.0, None 
 47.19, -122.71, 20.0, 2011-07-16 12:10:00, 0.0, None 
 47.49, -123.20700000000001, 35.0, 2011-07-16 12:22:30, 0.0, None 
 47.523, -123.27, 20.0, 2011-07-16 12:25:00, 0.0, None 
 47.43, -123.13, 31.0, 2011-07-16 13:50:00, 0.0, None 
 47.2, -122.61, 60.0, 2011-07-16 13:50:00, 0.0, None 
 47.49, -123.18, 20.0, 2011-07-16 13:52:30, 0.0, None 
 47.555, -123.32, 40.0, 2011-07-16 14:05:00, 0.0, None 
 47.4, -123.17, 47.0, 2011-07-16 14:50:00, 0.0, None 
 47.63, -123.31, 39.0, 2011-07-16 15:32:30, 0.0, None 
 47.54, -123.275, 27.0, 2011-07-16 15:37:30, 0.0, None 
 47.505, -123.28, 31.0, 2011-07-16 15:40:00, 0.0, None 
 47.18, -122.69, 34.0, 2011-07-16 15:50:00, 0.0, None 
 47.2, -123.31, 33.0, 2011-07-16 17:22:30, 0.0, None 
 47.49, -123.15, 60.0, 2011-07-16 17:42:30, 0.0, None 
 48.21, -123.6, 23.0, 2011-07-16 18:05:00, 0.0, None 
 47.21, -122.5, 60.0, 2011-07-16 20:07:30, 0.0, None 
 48.21, -123.6, 20.0, 2011-07-16 20:45:00, 0.0, None 
